Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST000051	Atrial Fibrillation/Atrial Flutter	Atrial Fibrillation	Gudbjartsson et al. 2007	NA	NA	OR	NA	EUR	0	1	2	1.1188663102514547	64-79
GCST000446	Atrial Fibrillation	Atrial Fibrillation	Gudbjartsson et al. 2009	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST004373	Atrial Fibrillation	Atrial Fibrillation	Low et al. 2017	(japanese)	NA	OR	NA	EUR	0	7	13	1.0865781872669322	65
GCST004373	Atrial Fibrillation	Atrial Fibrillation	Low et al. 2017	NA	NA	OR	NA	EUR	0	3	6	1.0378289433198857	56
GCST006414	Atrial Fibrillation	Atrial Fibrillation	Nielsen et al. 2018	NA	NA	OR	NA	EUR	0	73	142	1.0355928070935356	97
GCST006061	Atrial Fibrillation	Atrial Fibrillation	Roselli et al. 2018	(aa)	NA	OR	NA	EUR	0	1	1	1.1489125293076057	64-96
GCST006061	Atrial Fibrillation	Atrial Fibrillation	Roselli et al. 2018	(ea)	NA	OR	NA	EUR	0	53	106	1.0430218687407398	90
GCST006061	Atrial Fibrillation	Atrial Fibrillation	Roselli et al. 2018	NA	NA	OR	NA	EUR	0	61	119	1.0331350008045166	94
GCST006428	Suicide Attempts	Attempted Suicide	Kimbrel et al. 2018	NA	NA	OR	NA	EUR	0	4	7	1.3570951680272467	82
GCST008119	Suicide Attempts In Bipolar Disorder	Attempted Suicide	Mullins et al. 2019	NA	NA	OR	NA	EUR	0	7	13	1.050785312110188	48
GCST90091213	Suicide Attempt	Attempted Suicide	Mullins et al. 2021	NA	NA	OR	NA	EUR	0	1	2	1.0444365665005202	6-15
GCST000854	Suicide Risk	Attempted Suicide	Perlis et al. 2010	NA	NA	OR	NA	EUR	0	3	4	1.083219545997901	33
GCST010505	Suicide Attempts	Attempted Suicide	Russell et al. 2020	NA	NA	OR	NA	EUR	0	4	7	1.1940985555787698	91
GCST001015	Suicide Attempts In Bipolar Disorder	Attempted Suicide	Willour et al. 2011	NA	NA	OR	NA	EUR	0	2	2	1.0509691250073554	0-13
GCST002699	Suicide In Bipolar Disorder	Attempted Suicide	Zai et al. 2014	(suicide attempt)	NA	beta	z score	EUR	0	1	2	1.753405761413545	79
GCST007543	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Demontis et al. 2018	NA	NA	OR	NA	EUR	0	8	14	1.0238791252055073	70
GCST006916	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Hawi et al. 2018	NA	NA	OR	NA	EUR	0	3	5	1.245762350463084	89
GCST90061435	Externalizing Behaviour (Multivariate Analysis)	Attention Deficit Hyperactivity Disorder	Karlsson Linnér et al. 2021	NA	NA	beta	unit	EUR	0	345	579	0.00044490840755521434	19
GCST007582	Attention Deficit Hyperactivity Disorder Or Putamen Volume (Pleiotropy)	Attention Deficit Hyperactivity Disorder	Klein et al. 2019	NA	NA	beta	z score	EUR	0	1	2	1.475	29-77
GCST007586	Attention Deficit Hyperactivity Disorder Or Intracranial Volume (Pleiotropy)	Attention Deficit Hyperactivity Disorder	Klein et al. 2019	NA	NA	beta	z score	EUR	0	1	2	-0.8268981386670069	26-51
GCST007588	Attention Deficit Hyperactivity Disorder Or Amygdala Volume (Pleiotropy)	Attention Deficit Hyperactivity Disorder	Klein et al. 2019	NA	NA	beta	z score	EUR	0	1	1	-3.005	14-58
GCST007591	Attention Deficit Hyperactivity Disorder Or Caudate Nucleus Volume (Pleiotropy)	Attention Deficit Hyperactivity Disorder	Klein et al. 2019	NA	NA	beta	z score	EUR	0	1	1	2.69	19-65
GCST010222	Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	Kweon et al. 2018	NA	NA	OR	NA	EUR	0	1	2	1.2319707123015913	80-99
GCST001877	Autism Spectrum Disorder, Attention Deficit-Hyperactivity Disorder, Bipolar Disorder, Major Depressive Disorder, And Schizophrenia (Combined)	Attention Deficit Hyperactivity Disorder	Smoller et al. 2013	(modelling analysis)	NA	OR	NA	EUR	0	20	35	1.0478873000676103	81
GCST006983	Attention Deficit Hyperactivity Disorder Or Cannabis Use	Attention Deficit Hyperactivity Disorder	Soler Artigas et al. 2019	NA	NA	OR	NA	EUR	0	10	16	1.0390041840147393	69
GCST000247	Attention Deficit Hyperactivity Disorder Symptoms (Maternal Expressed Emotions Interaction)	Attention Deficit Hyperactivity Disorder	Sonuga-Barke et al. 2008	(maternal criticism)	NA	beta	unit	EUR	0	1	1	0.53	36-84
GCST000247	Attention Deficit Hyperactivity Disorder Symptoms (Maternal Expressed Emotions Interaction)	Attention Deficit Hyperactivity Disorder	Sonuga-Barke et al. 2008	(maternal warmth)	NA	beta	unit	EUR	0	5	6	-0.441539569437577	45-46
GCST004001	Bipolar Disorder Or Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	van Hulzen et al. 2016	NA	NA	OR	NA	EUR	0	1	2	1.0497928217912293	28
GCST004002	Bipolar Disorder (Age Of Onset <21) Or Attention Deficit Hyperactivity Disorder	Attention Deficit Hyperactivity Disorder	van Hulzen et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.13	66-100
GCST012088	Neuropsychiatric Disorders	Attention Deficit Hyperactivity Disorder	Yao et al. 2021	NA	NA	beta	z score	EUR	0	24	39	0.2895759726904156	71
GCST009304	Degraded Stimulus Continuous Performance Test Score	Attention Function Measurement	Greenwood et al. 2019	NA	NA	beta	unit	EUR	0	8	16	0.020328018892212963	64
GCST006929	Attention Function	Attention Function Measurement	Nakahara et al. 2018	NA	NA	beta	unit	EUR	0	1	1	-1.5	0
GCST008098	Atypical Femoral Fracture In Phosphonate Treatment	Atypical Femoral Fracture	Kharazmi et al. 2019	NA	NA	OR	NA	EUR	0	7	14	1.3571125449577348	83
GCST010733	Autism	Autism	Alsubaie et al. 2020	NA	NA	OR	NA	EUR	0	1	1	4.73445878638731	0-33
GCST002268	Autism	Autism	Xia et al. 2013	NA	NA	OR	NA	EUR	0	2	3	1.0770960652896593	42-44
GCST012466	Autism Spectrum Disorder	Autism Spectrum Disorder	Al-Sarraj et al. 2021	NA	NA	OR	NA	EUR	0	2	4	0.9844125195737996	17
GCST007553	Autism And Major Depressive Disorder (Mtag)	Autism Spectrum Disorder	Grove et al. 2019	NA	NA	beta	unit	EUR	0	6	8	0.012805253290548956	34
GCST007554	Autism And Educational Attainment (Mtag)	Autism Spectrum Disorder	Grove et al. 2019	NA	NA	beta	unit	EUR	0	3	4	-0.011605402173049596	47
GCST004703	Obsessive-Compulsive Disorder Or Autism Spectrum Disorder	Autism Spectrum Disorder	Guo et al. 2017	NA	NA	beta	unit	EUR	0	7	13	-2.807124492597188	87
GCST003130	Autism Spectrum Disorder	Autism Spectrum Disorder	Kuo et al. 2015	NA	NA	OR	NA	EUR	0	3	3	1.1874044844991771	64-84
GCST001877	Autism Spectrum Disorder, Attention Deficit-Hyperactivity Disorder, Bipolar Disorder, Major Depressive Disorder, And Schizophrenia (Combined)	Autism Spectrum Disorder	Smoller et al. 2013	(modelling analysis)	NA	OR	NA	EUR	0	20	35	1.0478873000676103	81
GCST012088	Neuropsychiatric Disorders	Autism Spectrum Disorder	Yao et al. 2021	NA	NA	beta	z score	EUR	0	24	39	0.2895759726904156	71
GCST012092	Autism Spectrum Disorder (Mtag)	Autism Spectrum Disorder	Yao et al. 2021	NA	NA	beta	unit	EUR	0	6	9	-0.010752776978085694	20
GCST004381	Insulinoma-Associated Antigen 2 Autoantibody Levels In Type 1 Diabetes	Autoantibody Measurement	Plagnol et al. 2011	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST006197	Type 1 Diabetes Autoantibodies In High Risk Hla Genotype Individuals (Time To Event)	Autoantibody Measurement	Sharma et al. 2018	(any ia)	NA	OR	NA	EUR	0	2	3	1.1768922015064922	97-100
GCST006197	Type 1 Diabetes Autoantibodies In High Risk Hla Genotype Individuals (Time To Event)	Autoantibody Measurement	Sharma et al. 2018	(iaa-first)	NA	OR	NA	EUR	0	2	2	1.1503785013489745	0-10
GCST011008	Autoimmune Traits	Autoimmune Disease	Liu et al. 2020	NA	NA	OR	NA	EUR	0	6	12	1.0215226059854592	56
GCST005524	Autoimmune Thyroid Diseases (Graves Disease Or Hashimoto's Thyroiditis)	Autoimmune Thyroid Disease	Cooper et al. 2012	NA	NA	OR	NA	EUR	0	6	10	1.0656404865592015	26
GCST010571	Autoimmune Thyroid Disease	Autoimmune Thyroid Disease	Saevarsdottir et al. 2020	NA	NA	OR	NA	EUR	0	62	99	1.042139531155689	58
GCST005809	Photic Sneeze Reflex	Autosomal Dominant Compelling Helio-Ophthalmic Outburst Syndrome	Sasayama et al. 2018	NA	NA	OR	NA	EUR	0	3	3	1.3312978654908971	56
GCST007687	Photic Sneeze Reflex	Autosomal Dominant Compelling Helio-Ophthalmic Outburst Syndrome	Wang et al. 2019	NA	NA	OR	NA	EUR	0	1	2	1.427051811976523	46-72
GCST002836	Axial Length	Axial Length Measurement	Miyake et al. 2015	NA	NA	beta	unit	EUR	0	1	1	0.045	33-81
GCST001494	Non-Obstructive Azoospermia	Azoospermia	Zhao et al. 2012	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST003798	Acute Lymphoblastic Leukemia In Childhood (B Cell Precursor)	B-Cell Acute Lymphoblastic Leukemia	Vijayakrishnan et al. 2016	NA	NA	OR	NA	EUR	0	2	2	1.09542609637069	37
GCST009637	B-Cell Acute Lymphoblastic Leukaemia (High-Hyperdiploidy)	B-Cell Acute Lymphoblastic Leukemia	Vijayakrishnan et al. 2019	NA	NA	OR	NA	EUR	0	1	1	1.1532562594670797	55-59
GCST009638	B-Cell Acute Lymphoblastic Leukaemia	B-Cell Acute Lymphoblastic Leukemia	Vijayakrishnan et al. 2019	NA	NA	OR	NA	EUR	0	5	10	1.1107657566433289	69
GCST90020048	Childhood Acute Lymphoblastic Leukemia (Tcf3-Pbx1 Fusion)	B-Cell Acute Lymphoblastic Leukemia With T(1;19)(Q23;P13.3); E2a-Pbx1 (Tcf3-Pbx1)	Lee et al. 2020	(ea)	NA	OR	NA	EUR	0	1	1	NF	NA
GCST007152	Chronic Back Pain	Back Pain	Suri et al. 2018	NA	NA	OR	NA	EUR	0	4	4	1.0146625575277164	31-32
GCST009083	Bacterial Meningitis	Bacterial Meningitis	Lees et al. 2019	NA	NA	OR	NA	EUR	0	1	1	1.1269427669584644	38-85
GCST007020	Male-Pattern Baldness	Balding Measurement	Yap et al. 2018	NA	NA	beta	unit	EUR	0	316	592	0.00031289712171951226	63
GCST006528	Barrett's Esophagus X Pack-Years Of Smoking Exposure Interaction	Barrett's Esophagus	Dong et al. 2018	NA	NA	OR	NA	EUR	0	3	4	1.0071042021478152	17-90
GCST006529	Barrett's Esophagus X Bmi Interaction	Barrett's Esophagus	Dong et al. 2018	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST003740	Barrett's Esophagus  Or Esophageal Adenocarcinoma	Barrett's Esophagus	Gharahkhani et al. 2016	NA	NA	OR	NA	EUR	0	7	14	1.0505559733706138	30
GCST002230	Barrett's Esophagus	Barrett's Esophagus	Levine et al. 2013	NA	NA	OR	NA	EUR	0	6	7	1.0239490644537659	35-44
GCST002231	Digestive System Disease (Barrett's Esophagus And Esophageal Adenocarcinoma Combined)	Barrett's Esophagus	Levine et al. 2013	NA	NA	OR	NA	EUR	0	7	10	1.0251107423393306	15-18
GCST90000515	Barrett's Esophagus	Barrett's Esophagus	Ong et al. 2021	NA	NA	beta	unit	EUR	0	6	8	0.01821838186351774	58
GCST001675	Barrett's Esophagus	Barrett's Esophagus	Su et al. 2012	NA	NA	OR	NA	EUR	0	1	2	1.0876794911238448	10-19
GCST004365	Blood Protein Levels	Basal Cell Adhesion Molecule Measurement	Suhre et al. 2017	(ea, basal cell adhesion molecule)	NA	beta	unit	EUR	0	1	1	0.2529	88-100
GCST90013410	Basal Cell Carcinoma	Basal Cell Carcinoma	Adolphe et al. 2021	NA	NA	beta	unit	EUR	0	40	71	-1.4537450909915783e-05	68
GCST003726	Basal Cell Carcinoma	Basal Cell Carcinoma	Chahal et al. 2016	NA	NA	OR	NA	EUR	0	17	33	1.0642367968881428	60
GCST004113	Basal Cell Carcinoma	Basal Cell Carcinoma	Lin et al. 2017	NA	NA	OR	NA	EUR	0	1	2	1.0106784983898995	0-20
GCST008871	Basal Cell Carcinoma	Basal Cell Carcinoma	Liyanage et al. 2019	NA	NA	OR	NA	EUR	0	48	76	1.05274329817958	56
GCST000249	Basal Cell Carcinoma	Basal Cell Carcinoma	Stacey et al. 2008	NA	NA	OR	NA	EUR	0	1	2	1.186516131413755	54-86
GCST004620	Sum Basophil Neutrophil Counts	Basophil Count	Astle et al. 2016	NA	NA	beta	unit	EUR	0	81	148	0.001470661171061281	47
GCST90002292	Basophil Count	Basophil Count	Chen et al. 2020	NA	NA	beta	SD unit	EUR	0	72	140	0.0027959497860199508	77
GCST90026504	White Blood Cell Count (Basophil)	Basophil Count	Hu et al. 2021	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST90026512	White Blood Cell Count (Basophil)	Basophil Count	Hu et al. 2021	NA	NA	beta	unit	EUR	0	3	6	0.10637901043906572	95
GCST004127	White Blood Cell Count (Basophil)	Basophil Count	Jain et al. 2017	NA	NA	beta	unit	EUR	0	4	4	0.033375	9-12
GCST004634	Basophil Percentage Of Granulocytes	Basophil Percentage Of Granulocytes	Astle et al. 2016	NA	NA	beta	unit	EUR	0	32	58	0.004798784413798871	69
GCST004631	Basophil Percentage Of White Cells	Basophil Percentage Of Leukocytes	Astle et al. 2016	NA	NA	beta	unit	EUR	0	32	62	0.004451784098650888	77
GCST006146	Behavioural Changes In Frontotemporal Lobe Dementia	Behavior	Pottier et al. 2018	NA	NA	OR	NA	EUR	0	2	3	1.7106619094199786	30
GCST001768	Behcet's Disease	Behcet's Syndrome	Hou et al. 2012	NA	NA	OR	NA	EUR	0	1	1	1.2041594578792296	0-39
GCST001804	Behcet's Disease	Behcet's Syndrome	Kirino et al. 2013	NA	NA	OR	NA	EUR	0	3	3	1.0993511124082957	46-54
GCST000728	Behcet's Disease	Behcet's Syndrome	Mizuki et al. 2010	NA	NA	OR	NA	EUR	0	2	2	1.0779123358892526	18-46
GCST012073	Behcet's Disease	Behcet's Syndrome	Ortiz Fernández et al. 2021	NA	NA	OR	NA	EUR	0	14	22	0.9772218395269208	40
GCST009887	Behcet's Disease	Behcet's Syndrome	Xavier et al. 2013	(greater middle eastern)	NA	OR	NA	EUR	0	1	1	1.6522711641858305	67-96
GCST009887	Behcet's Disease	Behcet's Syndrome	Xavier et al. 2013	NA	NA	OR	NA	EUR	0	1	1	1.140175425099138	0-25
GCST90018843	Bell's Palsy	Bell's Palsy	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	1	1	0.09095	23-71
GCST008169	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia	Hellwege et al. 2019	(ea)	NA	OR	NA	EUR	0	2	3	1.1318276856286391	60
GCST008169	Benign Prostatic Hyperplasia	Benign Prostatic Hyperplasia	Hellwege et al. 2019	NA	NA	OR	NA	EUR	0	1	2	1.0886850605378817	31-40
GCST004638	Benign Prostatic Hyperplasia And/Or Lower Urinary Tract Symptoms	Benign Prostatic Hyperplasia	Na et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.1874342087037917	60-94
GCST90018986	Medication Use (Beta Blocking Agents)	Beta Blocking Agent Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	42	72	-0.00043983580881950125	13
GCST007927	Medication Use (Beta Blocking Agents)	Beta Blocking Agent Use Measurement	Wu et al. 2019	NA	NA	beta	unit	EUR	0	34	59	0.0007302481239618669	24
GCST001863	Beta-2 Microglubulin Plasma Levels	Beta-2 Microglobulin Measurement	Tin et al. 2013	NA	NA	beta	unit	EUR	0	5	7	-0.005932743311064507	10-11
GCST004365	Blood Protein Levels	Beta-Ala-His Dipeptidase Measurement	Suhre et al. 2017	(ea, beta-ala-his dipeptidase)	NA	beta	unit	EUR	0	1	1	0.175	41-86
GCST009731	Blood Protein Levels In Cardiovascular Risk	Beta-Nerve Growth Factor Measurement	Folkersen et al. 2017	NA	NA	beta	unit	EUR	0	1	2	-0.24026616703770554	98
GCST009006	Bicuspid Aortic Valve Without Aortic Dilation	Bicuspid Aortic Valve	Gago-Díaz et al. 2016	(dominant model)	NA	OR	NA	EUR	0	1	1	1.6431676725154984	0-18
GCST90060135	Bile Acid(Dca)_[M-H]1- Levels	Bile Acid Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST000408	Primary Biliary Cholangitis	Biliary Liver Cirrhosis	Hirschfield et al. 2009	NA	NA	OR	NA	EUR	0	3	5	1.0809597261592363	36-45
GCST000733	Primary Biliary Cholangitis	Biliary Liver Cirrhosis	Liu et al. 2010	NA	NA	OR	NA	EUR	0	5	6	1.1728646085550765	72
GCST001010	Primary Biliary Cholangitis	Biliary Liver Cirrhosis	Mells et al. 2011	NA	NA	OR	NA	EUR	0	11	21	1.1543544859880035	85
GCST001685	Primary Biliary Cholangitis	Biliary Liver Cirrhosis	Nakamura et al. 2012	NA	NA	OR	NA	EUR	0	4	7	1.2133981026189915	69
GCST000386	Bilirubin Levels	Bilirubin Measurement	Johnson et al. 2009	NA	in log(tbil)	beta	umol/l	EUR	0	4	8	0.009340807407761557	59-62
GCST90018973	Total Bilirubin Levels	Bilirubin Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	71	142	-1.4254920063474122e-06	88
GCST000388	Bilirubin Levels	Bilirubin Measurement	Sanna et al. 2009	NA	NA	beta	s.d.	EUR	0	1	2	-0.09115621582695435	28-47
GCST000033	Bipolar Disorder	Bipolar Disorder	Baum et al. 2007	NA	NA	OR	NA	EUR	0	1	1	1.2609520212918492	3-28
GCST001567	Bipolar Disorder And Schizophrenia	Bipolar Disorder	Bergen et al. 2012	NA	NA	OR	NA	EUR	0	5	6	1.125467458700909	20
GCST012291	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(male)	NA	beta	unit	EUR	0	1	2	-0.01207710689635172	13-53
GCST012292	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder X Sex Interaction	Bipolar Disorder	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	10	13	0.02458392230850933	4
GCST012294	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(male)	NA	beta	unit	EUR	0	2	2	-0.06335	43-64
GCST012295	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder X Sex Interaction	Bipolar Disorder	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	10	16	0.026928575040982786	19
GCST012297	Schizophrenia, Bipolar Disorder Or Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(female)	NA	beta	unit	EUR	0	1	2	-0.035780425253049836	10-11
GCST012297	Schizophrenia, Bipolar Disorder Or Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(male)	NA	beta	unit	EUR	0	8	9	-0.02041788410189845	94
GCST012298	Schizophrenia, Bipolar Disorder Or Major Depressive Disorder X Sex Interaction	Bipolar Disorder	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	10	17	0.03701215442750745	28
GCST012300	Schizophrenia, Bipolar Disorder Or Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(female)	NA	beta	unit	EUR	0	1	2	-0.01512107722247387	9
GCST012300	Schizophrenia, Bipolar Disorder Or Major Depressive Disorder	Bipolar Disorder	Blokland et al. 2021	(male)	NA	beta	unit	EUR	0	5	6	-0.04424349281951434	93
GCST012307	Bipolar Disorder X Sex Interaction	Bipolar Disorder	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	8	12	0.1349326042821781	17
GCST010416	Bipolar Disorder Or Major Depressive Disorder	Bipolar Disorder	Coleman et al. 2019	NA	NA	OR	NA	EUR	0	44	73	1.0157700083520498	18
GCST001715	Bipolar Disorder With Mood-Incongruent Psychosis	Bipolar Disorder	Goes et al. 2012	NA	NA	OR	NA	EUR	0	5	9	1.0866795442593045	96
GCST003724	Bipolar Disorder	Bipolar Disorder	Hou et al. 2016	NA	NA	OR	NA	EUR	0	5	6	1.0547487998880527	24
GCST004139	Bipolar Disorder	Bipolar Disorder	Ikeda et al. 2017	NA	NA	OR	NA	EUR	0	7	11	1.0736313311813759	97
GCST001647	Bipolar Disorder	Bipolar Disorder	Lee et al. 2012	(sm vs. nsm)	NA	OR	NA	EUR	0	1	1	1.5063200191194432	28-77
GCST011101	Bipolar Disorder	Bipolar Disorder	Li et al. 2020	NA	NA	OR	NA	EUR	0	2	2	0.7598466080540623	0-4
GCST012465	Bipolar Disorder	Bipolar Disorder	Mullins et al. 2021	NA	NA	OR	NA	EUR	0	33	64	0.9915815245619324	63
GCST003742	Bipolar Disorder (Early Onset)	Bipolar Disorder	Nassan et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.3527749258468682	90-100
GCST009372	Bipolar Disorder Or Type 2 Diabetes	Bipolar Disorder	Pisanu et al. 2019	NA	NA	beta	unit	EUR	0	1	2	0.024261221068958515	9-38
GCST001135	Bipolar Disorder	Bipolar Disorder	Smith et al. 2011	NA	NA	OR	NA	EUR	0	3	6	1.1618424813033454	67-68
GCST001877	Autism Spectrum Disorder, Attention Deficit-Hyperactivity Disorder, Bipolar Disorder, Major Depressive Disorder, And Schizophrenia (Combined)	Bipolar Disorder	Smoller et al. 2013	(modelling analysis)	NA	OR	NA	EUR	0	20	35	1.0478873000676103	81
GCST003158	Subjective Response To Lithium Treatment	Bipolar Disorder	Song et al. 2015	NA	NA	OR	NA	EUR	0	3	4	1.0952009721541502	90-91
GCST004001	Bipolar Disorder Or Attention Deficit Hyperactivity Disorder	Bipolar Disorder	van Hulzen et al. 2016	NA	NA	OR	NA	EUR	0	1	2	1.0497928217912293	28
GCST004002	Bipolar Disorder (Age Of Onset <21) Or Attention Deficit Hyperactivity Disorder	Bipolar Disorder	van Hulzen et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.13	66-100
GCST000044	Bipolar Disorder	Bipolar Disorder	Wellcome Trust Case Control Consortium et al. 2007	NA	NA	OR	NA	EUR	0	4	6	1.231788359686916	56
GCST012088	Neuropsychiatric Disorders	Bipolar Disorder	Yao et al. 2021	NA	NA	beta	z score	EUR	0	24	39	0.2895759726904156	71
GCST012091	Bipolar Disorder (Mtag)	Bipolar Disorder	Yao et al. 2021	NA	NA	beta	unit	EUR	0	35	53	0.01092579970211872	68
GCST001164	Bipolar Disorder	Bipolar Disorder	Yosifova et al. 2011	NA	NA	OR	NA	EUR	0	2	3	1.6001193929301922	91
GCST012464	Bipolar I Disorder	Bipolar I Disorder	Mullins et al. 2021	NA	NA	OR	NA	EUR	0	26	44	0.9944716339497713	98
GCST008115	Bipolar I Disorder	Bipolar I Disorder	Stahl et al. 2019	NA	NA	OR	NA	EUR	0	32	59	1.051042489158195	99
GCST002501	Birdshot Chorioretinopathy	Birdshot Chorioretinopathy	Kuiper et al. 2014	NA	NA	OR	NA	EUR	0	1	2	1.2178832856309068	33-82
GCST008752	Post-Term Birth	Birth Measurement	Liu et al. 2019	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST002751	Spontaneous Preterm Birth (Preterm Birth)	Birth Measurement	Zhang et al. 2015	NA	NA	OR	NA	EUR	0	1	2	1.1878021231810196	91-96
GCST005314	Offspring Birth Weight	Birth Weight	Beaumont et al. 2018	NA	NA	beta	z-score	EUR	0	1	2	0.015869408956338517	51-75
GCST001762	Obesity-Related Traits	Birth Weight	Comuzzie et al. 2012	(birth weight )	NA	beta	kg	EUR	0	5	10	0.014210124532585222	57-60
GCST000648	Birth Weight	Birth Weight	Freathy et al. 2010	NA	NA	beta	s.d.	EUR	0	2	2	-0.0525	15-40
GCST001758	Birth Weight	Birth Weight	Horikoshi et al. 2012	NA	NA	beta	gram	EUR	0	9	10	-0.029670559106712208	1
GCST005146	Birth Weight	Birth Weight	Horikoshi et al. 2016	NA	NA	beta	unit	EUR	0	30	59	0.01956649006004249	44
GCST009437	Birth Weight	Birth Weight	Plotnikov et al. 2019	NA	NA	beta	z score	EUR	0	44	73	-0.0009829074610624843	43
GCST001964	Anthropometric Traits In Newborns	Birth Weight	Urbanek et al. 2013	(birthweight, model 2)	NA	beta	unit	EUR	0	1	1	21.6	16-62
GCST008362	Birth Weight	Birth Weight	Warrington et al. 2019	NA	NA	beta	unit	EUR	0	125	218	0.012415383866917592	24
GCST008363	Offspring Birth Weight	Birth Weight	Warrington et al. 2019	NA	NA	beta	unit	EUR	0	85	129	0.016135794781286673	100
GCST008522	Bitter Alcoholic Beverage Consumption	Bitter Alcoholic Beverage Consumption Measurement	Zhong et al. 2019	NA	NA	beta	unit	EUR	0	54	97	0.004975067411111812	55
GCST008521	Bitter Beverage Consumption	Bitter Beverage Consumption Measurement	Zhong et al. 2019	NA	NA	beta	unit	EUR	0	15	27	0.006980587943932452	66
GCST008524	Bitter Non-Alcoholic Beverage Consumption	Bitter Non-Alcoholic Beverage Consumption Measurement	Zhong et al. 2019	NA	NA	beta	unit	EUR	0	14	23	0.009331616098175368	66
GCST012441	Glutathione Peroxidase In Non-Alcoholic Fatty Liver Disease X Mastiha Supplementation Interaction	Blood Glutathione Peroxidase Measurement	Kanoni et al. 2021	NA	NA	beta	unit	EUR	0	2	2	-0.06174999999999997	42-55
GCST012518	Abo Blood Group (A Vs O)	Blood Group A	Wang et al. 2021	NA	NA	OR	NA	EUR	0	2	2	0.7400828044922853	0
GCST012521	Abo Blood Group (A Vs Non-A)	Blood Group A	Wang et al. 2021	NA	NA	OR	NA	EUR	0	1	2	0.6800824706762718	69-70
GCST012516	Abo Blood Group (Ab Vs O)	Blood Group Ab	Wang et al. 2021	NA	NA	OR	NA	EUR	0	2	2	0.5623413251903491	2-7
GCST012519	Abo Blood Group (Ab Vs Non-Ab)	Blood Group Ab	Wang et al. 2021	NA	NA	OR	NA	EUR	0	1	2	2.6433351484766745	19-40
GCST012517	Abo Blood Group (B Vs O)	Blood Group B	Wang et al. 2021	NA	NA	OR	NA	EUR	0	1	2	8.485995890453767	38-53
GCST012520	Abo Blood Group (B Vs Non-B)	Blood Group B	Wang et al. 2021	NA	NA	OR	NA	EUR	0	2	2	1.4358108555129503	19-39
GCST012516	Abo Blood Group (Ab Vs O)	Blood Group O	Wang et al. 2021	NA	NA	OR	NA	EUR	0	2	2	0.5623413251903491	2-7
GCST012517	Abo Blood Group (B Vs O)	Blood Group O	Wang et al. 2021	NA	NA	OR	NA	EUR	0	1	2	8.485995890453767	38-53
GCST012518	Abo Blood Group (A Vs O)	Blood Group O	Wang et al. 2021	NA	NA	OR	NA	EUR	0	2	2	0.7400828044922853	0
GCST012522	Abo Blood Group (O Vs Non-O)	Blood Group O	Wang et al. 2021	NA	NA	OR	NA	EUR	0	1	2	0.09843291170041416	46
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(acetylcarnitine)	NA	beta	unit	EUR	0	2	2	0.012625	64-92
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(carnitine)	NA	beta	unit	EUR	0	2	3	0.01959787104898213	74-75
GCST002961	Acylcarnitine Levels	Blood Metabolite Measurement	Draisma et al. 2015	(decanoylcarnitine)	NA	beta	unit	EUR	0	1	2	0.07238301458008572	35
